Lot_Frontage,Lot_Area,Year_Built,Year_Remod_Add,Mas_Vnr_Area,BsmtFin_SF_1,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Cars,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Misc_Val,Mo_Sold,Year_Sold,Sale_Price,Longitude,Latitude
41,7132,2006,2006,178,3,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,4,2010,205000,-93.649447,42.058252
36,2628,2003,2003,106,7,0,764,764,764,862,0,1626,0,0,2,1,2,1,6,0,2,474,0,27,0,0,0,0,0,6,2010,175500,-93.651013,42.057181
100,18494,2005,2005,0,7,0,1324,1324,1324,0,0,1324,0,0,2,0,3,1,6,0,2,430,36,23,0,0,0,0,0,1,2010,199500,-93.644356,42.061928
43,3203,2006,2006,14,3,0,1129,1145,1145,0,0,1145,0,0,2,0,2,1,6,0,2,437,100,116,0,0,0,0,0,1,2010,160000,-93.641635,42.06257
43,3182,2004,2005,16,3,0,1232,1256,1269,0,0,1269,0,0,2,0,2,1,6,1,2,430,146,20,0,0,144,0,0,4,2010,192000,-93.642252,42.062303
67,13300,2004,2004,0,3,0,58,384,744,630,0,1374,1,0,2,1,3,1,7,1,2,400,100,0,0,0,0,0,0,6,2010,184500,-93.644076,42.061443
0,7851,2002,2002,0,3,0,235,860,860,1100,0,1960,1,0,2,1,4,1,8,2,2,440,288,48,0,0,0,0,0,5,2010,216500,-93.641487,42.060977
63,8577,2004,2004,0,7,0,847,847,847,886,0,1733,0,0,2,1,3,1,7,1,2,433,144,48,0,0,0,0,0,4,2010,185088,-93.642447,42.061193
0,7750,2000,2000,0,3,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,4,2010,180000,-93.641325,42.060936
0,9505,2001,2001,180,7,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,5,2010,222500,-93.641337,42.057103
108,14774,1999,1999,165,7,0,1393,1393,1422,1177,0,2599,0,0,2,1,4,1,10,1,3,779,668,30,0,0,0,0,0,5,2010,333168,-93.651381,42.054386
60,17433,1998,1998,114,7,0,1629,1629,1645,830,0,2475,0,0,2,1,4,1,7,1,3,962,23,172,0,0,256,0,0,1,2010,355000,-93.652334,42.053243
59,10593,1996,1996,338,3,0,801,1720,1720,0,0,1720,1,0,2,0,3,1,7,1,2,527,240,56,154,0,0,0,0,3,2010,260400,-93.654206,42.051721
98,12256,1994,1995,362,3,0,431,1463,1500,1122,0,2622,1,0,2,1,3,1,9,2,2,712,186,32,0,0,0,0,0,4,2010,325000,-93.653616,42.051674
92,11764,1999,2007,348,3,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,3,671,132,57,0,0,0,0,0,4,2010,290000,-93.650356,42.052457
58,16770,1998,1998,30,7,0,1195,1195,1195,644,0,1839,0,0,2,1,4,1,7,0,2,486,0,81,0,0,0,0,0,6,2010,221000,-93.650578,42.052437
56,14720,1995,1996,579,3,0,1217,2033,2053,1185,0,3238,1,0,2,1,4,1,9,1,3,666,283,86,0,0,0,0,0,3,2010,410000,-93.652972,42.050909
73,8987,2005,2006,226,7,0,1595,1595,1595,0,0,1595,0,0,2,0,2,1,6,1,3,880,144,0,0,0,0,0,0,5,2010,221500,-93.642368,42.05306
92,9215,2009,2010,0,7,0,1218,1218,1218,0,0,1218,0,0,2,0,2,1,4,0,2,676,0,136,0,0,0,0,0,4,2010,204500,-93.649976,42.051827
72,8640,2009,2009,0,3,0,732,756,764,783,0,1547,0,0,2,1,3,1,7,0,2,614,169,45,0,0,0,0,0,6,2010,215200,-93.650318,42.051653
75,9000,2008,2008,36,3,0,488,1566,1566,0,0,1566,1,0,2,0,3,1,7,0,2,750,144,168,0,0,0,0,0,4,2010,262500,-93.647105,42.050084
100,12552,2004,2005,0,3,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2,678,0,136,0,0,0,0,0,5,2010,254900,-93.642773,42.052347
84,10440,2005,2005,0,3,0,54,1468,1468,0,0,1468,1,0,2,0,2,1,6,1,2,528,0,102,0,0,216,0,0,5,2010,271500,-93.642224,42.051429
76,10142,2004,2004,0,3,0,300,956,956,1128,0,2084,1,0,2,1,4,1,8,0,2,618,0,45,0,0,0,0,0,1,2010,233000,-93.692309,42.036255
70,11920,2004,2004,122,7,0,831,831,831,828,0,1659,0,0,2,1,3,1,8,0,2,484,144,68,0,0,0,0,0,4,2010,181000,-93.692412,42.036113
0,8880,1994,2002,0,3,0,253,948,1222,888,0,2110,1,0,2,1,3,1,8,2,2,463,0,130,0,0,0,0,0,5,2010,205000,-93.68981,42.036026
50,8012,1980,1980,0,2,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1,264,80,0,0,0,0,0,0,5,2010,143000,-93.686417,42.03548
70,11218,1992,1992,0,7,0,1055,1055,1055,790,0,1845,0,0,2,1,3,1,8,1,2,462,635,104,0,0,0,0,400,5,2010,189000,-93.687694,42.036659
55,7892,1979,1979,0,7,0,918,918,918,0,0,918,0,0,2,0,2,1,5,1,1,264,28,0,0,0,0,0,0,4,2010,99500,-93.686263,42.034589
50,7175,1984,1984,0,1,121,0,744,752,0,0,752,1,0,1,0,2,1,4,0,1,264,353,0,0,0,90,0,0,2,2010,125000,-93.686264,42.0347
0,9453,1993,2003,0,2,0,594,996,1014,730,0,1744,0,0,2,1,3,1,7,0,2,457,370,70,0,238,0,0,0,2,2010,194500,-93.68628,42.036633
81,9672,1984,1985,0,3,0,702,1040,1097,0,0,1097,0,0,2,0,3,1,6,0,2,480,0,0,0,0,0,0,0,5,2010,152000,-93.685028,42.034555
70,8400,1980,1981,130,7,0,650,650,888,676,0,1564,0,0,2,1,3,1,7,1,2,476,0,50,0,0,204,0,0,4,2010,171000,-93.685029,42.034678
70,9800,1920,1950,0,7,0,816,816,1012,0,0,1012,0,0,1,0,2,1,5,0,1,429,121,0,80,0,0,0,0,4,2010,67500,-93.67906939999999,42.03607540000001
68,8930,1978,1978,0,5,0,0,0,1318,584,0,1902,0,0,2,0,4,2,8,0,2,539,0,0,0,0,0,0,0,4,2010,112000,-93.677205,42.036535
88,11782,1961,1995,0,1,0,210,1109,1155,0,0,1155,1,0,1,0,3,1,6,0,2,576,192,0,0,0,0,0,400,6,2010,148000,-93.673669,42.034793
65,8450,1965,2009,0,3,117,224,894,894,0,0,894,1,0,1,0,3,1,5,1,1,336,416,144,0,0,0,0,0,4,2010,138500,-93.670956,42.035685
0,9819,1967,1967,31,2,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,0,0,2,2010,122000,-93.672096,42.034856
75,7500,1963,1963,0,1,0,216,1040,1040,0,0,1040,1,0,1,1,3,1,5,0,1,308,0,0,220,0,0,0,0,6,2010,133000,-93.672067,42.03457
0,6897,1962,2010,0,1,0,381,1040,1040,0,0,1040,1,0,1,1,3,1,6,0,1,260,0,104,0,0,0,0,0,4,2010,127000,-93.669688,42.035333
39,15410,1974,2002,250,2,859,223,1208,1494,0,0,1494,1,0,2,0,3,1,7,2,2,461,296,0,186,0,0,0,0,4,2010,169000,-93.660672,42.034603
107,10186,1992,1992,0,3,0,76,750,1061,862,0,1923,1,0,2,1,3,1,8,1,2,564,240,39,0,0,0,0,0,6,2010,190000,-93.646749,42.048253
85,13143,1993,1993,504,4,981,0,1231,1251,1098,0,2349,1,0,2,1,4,1,9,1,3,762,32,130,0,0,0,0,0,6,2010,362500,-93.651773,42.046825
88,11134,1992,1993,180,3,0,261,1390,1402,823,0,2225,1,0,2,1,4,1,7,1,3,713,198,30,0,0,0,0,0,6,2010,285000,-93.652773,42.045773
25,4835,2004,2005,0,3,0,190,1488,1488,0,0,1488,1,0,2,0,2,1,6,1,2,506,168,50,0,0,0,0,0,3,2010,260000,-93.647988,42.047452
39,3515,2004,2004,0,7,0,840,840,840,840,0,1680,0,0,2,1,2,1,3,0,2,588,0,111,0,0,0,0,0,1,2010,190000,-93.64614,42.048086
30,3215,2004,2004,120,3,0,320,600,600,600,0,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,0,0,4,2010,155000,-93.645599,42.048566
30,3182,2004,2005,0,7,0,600,600,600,600,0,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,0,0,6,2010,151000,-93.644889,42.047899
24,2544,2004,2005,0,3,42,190,600,600,600,0,1200,1,0,2,1,2,1,4,0,2,480,0,172,0,0,0,0,0,2,2010,149500,-93.644889,42.047876
24,2544,2005,2005,216,3,0,224,600,600,636,0,1236,1,0,2,1,2,1,4,0,2,480,0,166,0,0,0,0,0,5,2010,152000,-93.64489,42.047782
0,4403,2009,2009,432,3,0,892,1470,1478,0,0,1478,1,0,2,1,2,1,7,1,2,484,0,144,0,0,0,0,0,6,2010,222000,-93.6468879,42.0471748
0,2117,2000,2000,216,3,0,378,756,769,804,0,1573,0,0,2,1,3,1,5,0,2,440,0,32,0,0,0,0,0,6,2010,177500,-93.645606,42.046145
0,2980,2000,2000,1159,3,0,290,756,756,756,0,1512,1,0,2,1,2,1,5,0,2,440,0,32,0,0,0,0,0,5,2010,177000,-93.645585,42.046145
24,2572,1999,1999,0,1,0,92,696,696,720,0,1416,1,0,2,1,3,1,6,0,2,484,0,44,0,0,0,0,0,5,2010,155000,-93.645482,42.046424
0,2403,2003,2003,0,3,0,286,530,530,550,0,1080,0,0,2,1,2,1,4,0,2,496,0,50,0,0,0,0,0,6,2010,147110,-93.645478,42.046114
57,12853,2010,2010,0,3,0,610,1642,1418,0,0,1418,1,0,1,1,1,1,6,1,3,852,160,192,0,224,0,0,0,4,2010,267916,-93.64125299999999,42.0470316
68,7379,2000,2000,0,3,0,491,975,975,873,0,1848,1,0,2,1,3,1,7,1,2,592,280,184,0,0,0,0,0,4,2010,254000,-93.643556,42.04638
30,4420,1980,1980,0,3,0,0,728,788,0,0,788,1,0,1,0,1,1,3,1,2,484,133,42,0,0,0,0,0,6,2010,155000,-93.649361,42.042565
40,3880,1978,1978,0,3,0,174,1226,1226,0,0,1226,1,0,1,0,1,1,4,1,2,484,223,78,0,0,0,0,0,1,2010,206000,-93.648143,42.043704
0,13517,1976,2005,289,3,0,192,725,725,754,0,1479,0,0,2,1,3,1,6,0,2,475,0,44,0,0,0,0,0,3,2010,130500,-93.65921,42.034561
80,8000,2002,2002,0,3,0,659,1492,1492,0,0,1492,1,0,2,0,3,1,6,1,2,596,277,137,0,0,0,0,0,4,2010,230000,-93.639516,42.048606
0,10456,1967,1967,120,3,0,1323,1829,1829,0,0,1829,1,0,2,0,4,1,8,0,2,535,0,76,0,0,0,0,0,5,2010,218500,-93.633351,42.046322
80,10791,1993,1993,0,3,0,143,1280,1280,1215,0,2495,1,0,2,1,4,1,9,1,2,660,224,32,0,0,0,0,0,3,2010,243500,-93.636879,42.043038
0,10603,1977,2001,28,1,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,2010,205000,-93.637463,42.043306
0,18837,1978,1978,0,1,46,491,1224,1287,604,0,1891,0,1,3,0,3,1,7,1,2,678,0,69,0,0,0,0,0,4,2010,212500,-93.637531,42.043306
80,10421,1988,1988,42,3,0,586,980,980,734,0,1714,0,0,2,1,3,1,7,1,2,496,228,66,156,0,0,0,500,3,2010,196500,-93.637788,42.043329
78,9360,1972,2006,0,1,0,179,1161,1381,0,0,1381,1,0,1,1,3,1,5,1,2,676,0,0,0,0,0,0,0,3,2010,197500,-93.631435,42.043822
80,9600,1971,1971,0,1,0,386,715,930,715,0,1645,0,0,1,2,4,1,7,0,2,441,0,78,0,0,0,0,0,6,2010,171000,-93.632554,42.043821
80,9600,1966,1966,172,6,0,534,1232,1232,0,0,1232,1,0,1,1,3,1,6,0,2,490,0,224,0,0,0,0,0,4,2010,142250,-93.626137,42.046574
0,9790,1963,1963,451,1,81,678,1328,1328,0,0,1328,1,0,1,1,3,1,6,2,2,528,0,26,0,0,0,0,0,6,2010,143000,-93.625926,42.042205
77,9320,1959,1959,0,1,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,1,2010,128950,-93.623383,42.043363
90,9900,1966,1966,0,2,0,150,1209,1209,0,0,1209,1,0,1,0,3,1,6,0,2,504,0,0,120,0,0,0,0,4,2010,159000,-93.626939,42.039085
88,9680,1967,1967,268,2,0,500,1510,1510,0,0,1510,1,0,2,0,3,1,6,0,2,517,0,40,0,0,204,0,0,4,2010,178900,-93.627536,42.038971
0,10600,1964,1964,0,7,0,533,533,1131,644,0,1775,0,0,2,0,3,1,8,0,2,480,0,172,0,0,0,0,0,5,2010,136300,-93.626785,42.040326
0,14112,1964,1964,86,3,0,138,1152,1152,0,0,1152,1,0,1,0,3,1,6,1,2,484,227,0,0,0,0,0,0,4,2010,180500,-93.627809,42.041146
80,8800,1963,1963,156,3,0,173,936,1054,0,0,1054,1,0,1,0,3,1,6,0,2,480,120,0,0,0,0,0,0,5,2010,137500,-93.625728,42.040391
98,13260,1962,2001,144,2,0,228,1728,1728,0,0,1728,2,0,2,0,6,2,10,0,0,0,0,0,0,0,0,0,0,1,2010,84900,-93.62290399999999,42.0418387
68,9717,1950,1996,0,3,1029,0,1078,1078,0,0,1078,1,0,1,0,2,1,5,0,1,240,366,0,112,0,0,0,0,4,2010,142125,-93.622864,42.039211
68,9724,1952,2002,265,4,0,470,1140,1929,532,0,2461,0,0,2,0,3,1,7,2,2,400,0,0,0,0,0,0,0,3,2010,197600,-93.620651,42.039211
120,17360,1949,1950,340,6,0,482,782,1019,537,0,1556,0,0,2,0,3,1,6,1,2,470,0,0,150,0,0,0,0,1,2010,172500,-93.620504,42.038538
50,7207,1958,2008,0,2,0,162,858,858,0,0,858,1,0,1,0,2,1,4,0,0,0,117,0,0,0,0,0,0,2,2010,116500,-93.629287,42.035256
55,5350,1940,1966,0,7,0,728,728,1306,0,0,1306,0,0,1,0,3,1,6,0,0,0,263,0,0,0,0,0,450,5,2010,76500,-93.629313,42.035482
80,9920,1954,1954,110,6,290,412,1056,1063,0,0,1063,1,0,1,0,3,1,6,0,1,280,0,0,164,0,0,0,0,2,2010,128000,-93.62475,42.035943
80,9600,1955,1972,164,2,132,350,1156,1520,0,0,1520,1,0,1,0,3,1,7,2,1,364,0,0,189,0,0,0,0,3,2010,153000,-93.624601,42.036095
78,7800,1954,1954,200,4,0,728,1268,1268,0,0,1268,0,0,1,0,2,1,7,1,1,244,0,98,0,0,0,0,0,3,2010,132000,-93.621431,42.037424
75,11380,1966,2008,216,3,0,136,1080,1128,0,0,1128,1,0,1,0,2,1,5,1,1,315,238,0,0,0,0,0,1500,1,2010,178000,-93.618221,42.048494
80,11600,1960,1960,361,6,0,662,1105,1105,1169,0,2274,0,0,2,0,5,2,12,0,2,480,0,0,0,0,0,0,0,1,2010,154300,-93.6184183,42.0459375
0,19900,1970,1989,287,3,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,2010,180000,-93.614307,42.049514
137,16492,1966,2002,0,1,713,557,1517,1888,0,0,1888,0,0,2,1,2,1,6,1,2,578,0,0,0,0,0,0,0,6,2010,190000,-93.614244,42.047447
70,8267,1958,1958,0,7,0,1604,1604,1604,0,0,1604,0,0,2,0,4,2,8,0,2,576,42,0,0,0,0,0,0,3,2010,135000,-93.617693,42.044895
70,8197,2003,2009,506,3,0,292,1480,1480,0,0,1480,1,0,2,0,3,1,7,0,2,620,252,73,0,0,0,0,300,2,2010,214000,-93.617553,42.043984
0,8050,1959,1959,150,2,162,125,1143,1143,0,0,1143,1,0,1,0,3,1,6,0,1,308,0,0,0,0,0,0,0,5,2010,136000,-93.617117,42.042908
70,10552,1959,1959,0,6,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,165500,-93.6177041,42.0430839
70,8400,1957,1957,0,6,0,392,1314,1314,0,0,1314,1,0,1,0,3,1,5,0,1,294,250,0,0,0,0,0,0,6,2010,145000,-93.618626,42.044847
73,8760,1959,1959,220,7,0,1194,1194,1194,0,0,1194,1,0,1,0,3,1,6,0,1,312,0,0,120,0,0,0,0,4,2010,148000,-93.616582,42.043969
0,12160,1959,1959,180,6,0,188,1188,1188,0,0,1188,1,0,1,0,3,1,6,0,2,531,0,0,0,0,0,0,0,5,2010,142000,-93.614882,42.044052
73,9300,1960,1960,324,6,0,571,1268,1264,0,0,1264,1,0,1,0,3,1,6,2,2,461,0,0,0,0,143,0,0,4,2010,167500,-93.613301,42.044176
87,10725,1959,1959,91,6,0,270,1206,1206,0,0,1206,0,0,1,0,3,1,6,0,1,312,0,21,0,0,0,0,0,5,2010,108538,-93.61513,42.044883
80,10032,1959,1959,432,6,0,510,1244,1580,0,0,1580,1,0,1,1,3,1,6,2,2,440,0,28,0,0,160,0,0,6,2010,159500,-93.61424099999999,42.0435919
60,8382,1956,1956,0,7,0,832,832,832,505,0,1337,0,0,1,0,3,1,5,0,1,263,0,0,0,0,0,0,0,2,2010,108000,-93.613624,42.042308
60,10950,1952,1952,0,2,0,525,864,1064,0,0,1064,0,1,1,0,2,1,4,0,1,318,0,0,0,0,0,0,0,5,2010,135000,-93.615622,42.040396
119,10895,1955,1955,0,6,0,324,972,972,0,0,972,0,0,1,0,3,1,5,0,1,305,0,0,205,0,0,0,0,6,2010,122500,-93.617092,42.04137
70,13587,1958,1958,0,6,0,456,988,988,0,0,988,1,0,1,0,2,1,5,0,1,264,0,0,0,0,0,0,0,4,2010,119000,-93.61722,42.038515
68,7922,1953,2007,0,3,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,109000,-93.618428,42.039841
65,7898,1920,1994,0,7,0,576,576,985,0,0,985,0,1,1,0,2,1,4,0,2,676,0,0,0,0,0,0,0,4,2010,105000,-93.615475,42.038443
60,7200,1955,2007,0,5,0,0,0,827,0,0,827,0,0,1,0,2,1,5,1,1,392,0,0,0,0,0,0,0,4,2010,107500,-93.61164199999999,42.038521
85,10200,1954,2003,104,1,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,5,2010,144900,-93.618788,42.038249
74,5868,1956,2000,0,2,240,448,936,936,0,0,936,1,0,1,0,2,1,4,0,1,308,0,0,80,0,160,0,0,5,2010,129000,-93.6192014,42.0381282
